,Batch size,Search space size,Migrating clones F1,Migration graph F1
619,256,115292150460684.7,1.0,0.875
620,256,115292150460684.7,0.8,0.7777777777777779
621,256,115292150460684.7,1.0,1.0
622,256,115292150460684.7,1.0,0.875
623,256,115292150460684.7,1.0,0.875
624,256,115292150460684.7,1.0,0.7777777777777779
625,256,14411518807585.588,0.6666666666666666,0.8
626,256,14411518807585.588,0.8888888888888888,0.8
627,256,14411518807585.588,0.8888888888888888,0.13333333333333333
628,256,14411518807585.588,1.0,0.8421052631578947
629,256,14411518807585.588,0.6666666666666666,0.8
630,256,14411518807585.588,0.8888888888888888,0.8
631,256,14411518807585.588,0.8888888888888888,0.13333333333333333
632,256,14411518807585.588,1.0,0.8421052631578947
633,256,14411518807585.588,0.6666666666666666,0.8
634,256,14411518807585.588,0.8888888888888888,0.8
635,256,14411518807585.588,1.0,0.4
636,256,14411518807585.588,1.0,0.8421052631578947
637,256,14411518807585.588,0.6666666666666666,0.6666666666666666
638,256,14411518807585.588,0.8888888888888888,0.8
639,256,14411518807585.588,0.8888888888888888,0.13333333333333333
640,256,14411518807585.588,1.0,0.8421052631578947
641,256,14411518807585.588,0.6666666666666666,0.8
642,256,14411518807585.588,0.8888888888888888,0.8
643,256,14411518807585.588,0.8888888888888888,0.13333333333333333
644,256,14411518807585.588,1.0,0.8421052631578947
645,256,1667718169966.657,1.0,0.6666666666666666
646,256,1667718169966.657,1.0,0.6666666666666666
647,256,1667718169966.657,1.0,0.6666666666666666
648,256,1667718169966.657,1.0,0.6666666666666666
649,256,1667718169966.657,1.0,0.6666666666666666
650,256,6.461081889226673e+20,1.0,0.8888888888888888
651,256,6.461081889226673e+20,1.0,0.8888888888888888
652,256,6.461081889226673e+20,1.0,0.8888888888888888
653,256,6.461081889226673e+20,1.0,0.8888888888888888
654,256,6.461081889226673e+20,1.0,0.8888888888888888
655,256,5.814973700304006e+21,0.8888888888888888,0.7058823529411765
656,256,5.814973700304006e+21,0.9090909090909091,0.8888888888888888
657,256,5.814973700304006e+21,0.7142857142857143,0.38095238095238093
658,256,5.814973700304006e+21,1.0,0.823529411764706
659,256,5.814973700304006e+21,0.9090909090909091,0.8888888888888888
660,256,5.814973700304006e+21,0.7142857142857143,0.38095238095238093
661,256,5.814973700304006e+21,0.8888888888888888,0.7058823529411765
